Sl. No,Field Name,Field Type,Example
9774,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/de/P00892122_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/de/P00892122_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/de/P00892122_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/de/P00892122_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/de/P00892122_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/de/P00892122_d4.jpg']"
9775,breadcrumbs,list,"['Men', 'Designers', 'Saint Laurent', 'Shoes', 'Sandals & slides']"
9776,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00892127.jpg
9777,brand_name,string,Saint Laurent
9778,product_name,string,Pepe 05 leather slides
9779,product_price,string,€ 500
9780,product_id,string,P00892127
9781,Description,string,None
9782,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']"
9783,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00892127_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00892127_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00892127_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00892127_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00892127_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/88/P00892127_d4.jpg']"
9784,breadcrumbs,list,"['Men', 'Designers', 'Gucci', 'Shoes', 'Sandals & slides']"
9785,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/24/P00939649.jpg
9786,brand_name,string,Gucci
9787,product_name,string,Leather sandals
9788,product_price,string,€ 825
9789,product_id,string,P00939649
9790,Description,string,None
9791,Sizes,list,"['UK 5 / EU 39', 'UK 6 / EU 40', 'UK 7 / EU 41', 'UK 8 / EU 42', 'UK 9 / EU 43', 'UK 10 / EU 44', 'UK 11 / EU 45', 'UK 12 / EU 46']"
9792,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/24/P00939649_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/24/P00939649_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/24/P00939649_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/24/P00939649_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/24/P00939649_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/24/P00939649_d4.jpg']"
9793,breadcrumbs,list,"['Men', 'Designers', 'Thom Browne', 'Shoes', 'Derby Shoes']"
9794,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/be/P00949729.jpg
9795,brand_name,string,Thom Browne
9796,product_name,string,Apron Stitch leather Derby shoes
9797,product_price,string,"€ 1,050"
9798,product_id,string,P00949729
9799,Description,string,None
9800,Sizes,list,"['US 7 / EU 40', 'US 8 / EU 41', 'US 9 / EU 42', 'US 10 / EU 43', 'US 11 / EU 44']"
